DISTRICT_CODE,DISTRICT_NAME,PARISH_CODE,PARISH_NAME,PS_CODE,PS_NAME,Reg. Voters,AMURIAT,KABULETA,KALEMBE ,KATUMBA ,KYAGULANYI ,KYAGULANYI %,KYAGULANYI %,MAO ,MAYAMBA ,MUGISHA ,MWESIGYE ,TUMUKUNDE,YOWERI,YOWERI%,YOWERI%,VALID,INVALID,TOTAL,VOTER TURNOUT
62,ISINGIRO,3,KYABAHESI,6,BAHIIGI CHURCH SCH,498,0,0,0,0,0,0,0,0,0,0,0,0,498,100,100,498,0,498,100
131,KAZO,30,BWAGONGA,3,BWAGONGA PRI SCH,497,0,0,0,0,0,0,0,0,0,0,0,0,463,100,100,463,34,497,100
62,ISINGIRO,38,NTENGA,1,NTENGA C.O.U,490,0,0,0,0,0,0,0,0,0,0,0,0,490,100,100,490,0,490,100
62,ISINGIRO,34,MIRAMBIRO,2,KASHASHA PLAYGROUND,485,0,0,0,0,0,0,0,0,0,0,0,0,485,100,100,485,0,485,100
62,ISINGIRO,36,KASHENYI,1,NYAKIBINGO CATHOLIC CHURCH,470,0,0,0,0,0,0,0,0,0,0,0,0,470,100,100,470,0,470,100
46,KAMWENGE,9,BITOJO WARD,7,KASESE T/CENTRE (A-L),465,0,0,0,0,0,0,0,0,0,0,0,0,465,100,100,465,0,465,100
45,SSEMBABULE,5,KYEBANDO,1,KITAHIRA,463,0,0,0,0,0,0,0,0,0,0,0,0,460,100,100,460,3,463,100
65,KIRUHURA,21,KANYANYA,1,KANYANYA PRI SCH,461,0,0,0,0,0,0,0,0,0,0,0,0,461,100,100,461,0,461,100
62,ISINGIRO,21,RWANTAHA,2,KYABUZAARE NURS & PRI SCH,459,0,0,0,0,0,0,0,0,0,0,0,0,459,100,100,459,0,459,100
62,ISINGIRO,3,KYABAHESI,7,KIKOMA SDA CHURCH,457,0,0,0,0,0,0,0,0,0,0,0,0,453,100,100,453,4,457,100
93,KYANKWANZI,14,KIBABI WARD,2,KAGAALI CHURCH OF UGANDA,457,0,0,0,0,0,0,0,0,0,0,0,0,456,100,100,456,1,457,100
62,ISINGIRO,37,BURUMBA,2,BURUMBA PRI SCH,456,0,0,0,0,0,0,0,0,0,0,0,0,456,100,100,456,0,456,100
46,KAMWENGE,39,KYAKAITABA,5,SAYUNI C.O.U,455,0,0,0,0,0,0,0,0,0,0,0,0,418,100,100,418,37,455,100
69,NAKASEKE,70,KYENSHANDE,2,KAYONZA P. SCHOOL,455,0,0,0,0,0,0,0,0,0,0,0,0,454,100,100,454,1,455,100
131,KAZO,51,KIKONI,1,KIKONI I LCI HQTRS,451,0,0,0,0,0,0,0,0,0,0,0,0,451,100,100,451,0,451,100
65,KIRUHURA,18,EMBARE,1,KIKATSI PRI SCH,446,0,0,0,0,0,0,0,0,0,0,0,0,446,100,100,446,0,446,100
62,ISINGIRO,5,BURUNGAMO,4,RUKIRI - RWENKUNGURU,443,0,0,0,0,0,0,0,0,0,0,0,0,405,100,100,405,38,443,100
62,ISINGIRO,25,RUTEETE,3,ST ALOYSIOUS PRI SCH,442,0,0,0,0,0,0,0,0,0,0,0,0,442,100,100,442,0,442,100
65,KIRUHURA,29,RWANYANGWE,4,MABARE C.O.U,431,0,0,0,0,0,0,0,0,0,0,0,0,430,100,100,430,1,431,100
65,KIRUHURA,30,AKAJUMBURA,1,AKAJUMBURA TRADING CENTRE,431,0,0,0,0,0,0,0,0,0,0,0,0,431,100,100,431,0,431,100
65,KIRUHURA,19,KEIKOTI,2,KEIKOTI PRI SCH,427,0,0,0,0,0,0,0,0,0,0,0,0,421,100,100,421,6,427,100
45,SSEMBABULE,19,KAIRASYA,1,KANJUNJU PRI SCH,425,0,0,0,0,0,0,0,0,0,0,0,0,425,100,100,425,0,425,100
65,KIRUHURA,11,KASAANA,4,KINONI PLAYGROUND,419,0,0,0,0,0,0,0,0,0,0,0,0,417,100,100,417,2,419,100
45,SSEMBABULE,14,MBUYA,11,BISHESHE,414,0,0,0,0,0,0,0,0,0,0,0,0,409,100,100,409,5,414,100
65,KIRUHURA,44,NKONGORO WARD,1,NKONGORO TRADING CENTRE,414,0,0,0,0,0,0,0,0,0,0,0,0,414,100,100,414,0,414,100
131,KAZO,7,MAGONDO,2,KABAGORE JUNCTION,412,0,0,0,0,0,0,0,0,0,0,0,0,412,100,100,412,0,412,100
62,ISINGIRO,46,RWAMBAGA,5,NTUURA,408,0,0,0,0,0,0,0,0,0,0,0,0,408,100,100,408,0,408,100
65,KIRUHURA,39,RWAKOBO,2,RWEKISHWAGA FULL GOSPEL CHURCH,408,0,0,0,0,0,0,0,0,0,0,0,0,408,100,100,408,0,408,100
65,KIRUHURA,28,RWAMURANDA,1,RWAMURANDA PRI SCH,404,0,0,0,0,0,0,0,0,0,0,0,0,404,100,100,404,0,404,100
62,ISINGIRO,17,RUHIRA CENTRAL WARD,3,RUHIRA PRI SCH,402,0,0,0,0,0,0,0,0,0,0,0,0,402,100,100,402,0,402,100
65,KIRUHURA,3,"
NSWEREEMPANGO WARD",2,NSHWEREMPANGO LC I HQTRS,397,0,0,0,0,0,0,0,0,0,0,0,0,397,100,100,397,0,397,100
65,KIRUHURA,15,KYAKABUNGA,4,KAMARYA PRI SCH,397,0,0,0,0,0,0,0,0,0,0,0,0,397,100,100,397,0,397,100
46,KAMWENGE,39,KYAKAITABA,2,OMUKACWAMBA T/C,392,0,0,0,0,0,0,0,0,0,0,0,0,392,100,100,392,0,392,100
34,NTUNGAMO,16,NYAKABAARE,7,KABURANGIRA C.O.U,388,0,0,0,0,0,0,0,0,0,0,0,0,384,100,100,384,4,388,100
62,ISINGIRO,8,RUKUUBA,3,KAKUUTO,385,0,0,0,0,0,0,0,0,0,0,0,0,376,100,100,376,9,385,100
131,KAZO,7,MAGONDO,7,BUHEMBE C.O.U,383,0,0,0,0,0,0,0,0,0,0,0,0,383,100,100,383,0,383,100
91,GOMBA,15,BUYANJA,4,NAKITEMBE C.O.U,382,0,0,0,0,0,0,0,0,0,0,0,0,381,100,100,381,1,382,100
65,KIRUHURA,16,NYAKAHITA,9,ST MARK KARENGO C.O.U,381,0,0,0,0,0,0,0,0,0,0,0,0,380,100,100,380,1,381,100
131,KAZO,4,MIGINA,1,KASHAMBYA PLAYGROUND,370,0,0,0,0,0,0,0,0,0,0,0,0,369,100,100,369,1,370,100
131,KAZO,14,RWIGI,3,AKABARE LC I HQTRS,369,0,0,0,0,0,0,0,0,0,0,0,0,368,100,100,368,1,369,100
62,ISINGIRO,36,KASHENYI,2,KASHENYI PRI SCH,368,0,0,0,0,0,0,0,0,0,0,0,0,368,100,100,368,0,368,100
89,BULAMBULI,102,MAGALA WARD,1,KASHESHE HEALTH CENTRE III,365,0,0,0,0,0,0,0,0,0,0,0,0,363,100,100,363,2,365,100
65,KIRUHURA,1,AKATONGORE WARD,3,EKIJINJA C.O.U,365,0,0,0,0,0,0,0,0,0,0,0,0,365,100,100,365,0,365,100
65,KIRUHURA,6,NSHWERENKYE WARD,5,KYABAGYENYI CATHOLIC PRI SCH,364,0,0,0,0,0,0,0,0,0,0,0,0,364,100,100,364,0,364,100
65,KIRUHURA,16,NYAKAHITA,4,RWEITSIRU PRI SCH,363,0,0,0,0,0,0,0,0,0,0,0,0,361,100,100,361,2,363,100
131,KAZO,13,ENGARI,5,SOLOMON MEMORIAL PRI SCH,361,0,0,0,0,0,0,0,0,0,0,0,0,361,100,100,361,0,361,100
65,KIRUHURA,30,AKAJUMBURA,2,AKAJUMBURA PRI SCH,356,0,0,0,0,0,0,0,0,0,0,0,0,356,100,100,356,0,356,100
65,KIRUHURA,15,KYAKABUNGA,3,NYAKASHASHARA C.O.U,354,0,0,0,0,0,0,0,0,0,0,0,0,352,100,100,352,2,354,100
69,NAKASEKE,30,KYALUSEBEKA,4,KYABIKAMBA PRIMARY SCHOOL,352,0,0,0,0,0,0,0,0,0,0,0,0,343,100,100,343,9,352,100
131,KAZO,8,BURUNGA,3,KIRINGA PRI SCH,349,0,0,0,0,0,0,0,0,0,0,0,0,345,100,100,345,4,349,100
62,ISINGIRO,46,RWAMBAGA,4,ENDIINZI SUB COUNTY HQTRS,348,0,0,0,0,0,0,0,0,0,0,0,0,348,100,100,348,0,348,100
131,KAZO,16,MBABA,3,KABATANAGI TRADING CENTRE,346,0,0,0,0,0,0,0,0,0,0,0,0,346,100,100,346,0,346,100
62,ISINGIRO,50,NSHORORO WARD,2,BUJUBWE,343,0,0,0,0,0,0,0,0,0,0,0,0,343,100,100,343,0,343,100
65,KIRUHURA,16,NYAKAHITA,1,RWEMPOGO TRADING CENTRE,332,0,0,0,0,0,0,0,0,0,0,0,0,332,100,100,332,0,332,100
62,ISINGIRO,23,KAKAMBA,1,NYAKAGO C.O.U,318,0,0,0,0,0,0,0,0,0,0,0,0,315,100,100,315,3,318,100
65,KIRUHURA,24,KANYARYERU RES SCH,1,MPANGAMUSHANJU PENTECOSTAL CHURCH,313,0,0,0,0,0,0,0,0,0,0,0,0,312,100,100,312,1,313,100
65,KIRUHURA,5,IFURA,6,BUBARE TRADING CENTRE,311,0,0,0,0,0,0,0,0,0,0,0,0,311,100,100,311,0,311,100
62,ISINGIRO,8,NGARAMA,2,KISHOJO PRI SCH,310,0,0,0,0,0,0,0,0,0,0,0,0,305,100,100,305,5,310,100
65,KIRUHURA,19,KEIKOTI,1,KEIKOTI TRADING CENTRE,308,0,0,0,0,0,0,0,0,0,0,0,0,308,100,100,308,0,308,100
65,KIRUHURA,44,NKONGORO WARD,2,RWEBISHURI TRADING CENTRE,308,0,0,0,0,0,0,0,0,0,0,0,0,308,100,100,308,0,308,100
62,ISINGIRO,23,KAKAMBA,4,KAKUUTO PRI SCH,307,0,0,0,0,0,0,0,0,0,0,0,0,307,100,100,307,0,307,100
131,KAZO,2,RWEMIKOMA,8,RYENTANGA FULL GOSPEL CHURCH,306,0,0,0,0,0,0,0,0,0,0,0,0,306,100,100,306,0,306,100
65,KIRUHURA,11,KASAANA,7,SHERENGYE C.O.U,303,0,0,0,0,0,0,0,0,0,0,0,0,302,100,100,302,1,303,100
131,KAZO,8,BURUNGA,6,ST PETER'S PRI SCH KAWIRI,300,0,0,0,0,0,0,0,0,0,0,0,0,299,100,100,299,1,300,100
65,KIRUHURA,3,"
NSWEREEMPANGO WARD",1,BWASHAMURE TRADING CENTRE,299,0,0,0,0,0,0,0,0,0,0,0,0,299,100,100,299,0,299,100
131,KAZO,8,BURUNGA,7,ST JUDE KAKINGA PRI SCH,297,0,0,0,0,0,0,0,0,0,0,0,0,296,100,100,296,1,297,100
65,KIRUHURA,15,KYAKABUNGA,2,HUGUKA PRI SCH,297,0,0,0,0,0,0,0,0,0,0,0,0,297,100,100,297,0,297,100
62,ISINGIRO,35,BURIGI,3,RWENSHEBASHEBE PARENTS SCH,290,0,0,0,0,0,0,0,0,0,0,0,0,284,100,100,284,6,290,100
69,NAKASEKE,30,KYALUSEBEKA,2,BULAMBA,290,0,0,0,0,0,0,0,0,0,0,0,0,290,100,100,290,0,290,100
65,KIRUHURA,1,AKATONGORE WARD,4,ST. JOSEPHS CATHOLIC PRI.SCH,285,0,0,0,0,0,0,0,0,0,0,0,0,285,100,100,285,0,285,100
62,ISINGIRO,41,KIKOKWA WARD,1,KIKOKWA,284,0,0,0,0,0,0,0,0,0,0,0,0,283,100,100,283,1,284,100
131,KAZO,18,KAYANGA,4,EKITEHURIZI LC I HQTRS,279,0,0,0,0,0,0,0,0,0,0,0,0,275,100,100,275,4,279,100
65,KIRUHURA,18,EMBARE,2,AKATI VALLEY DAM,279,0,0,0,0,0,0,0,0,0,0,0,0,279,100,100,279,0,279,100
65,KIRUHURA,16,NYAKAHITA,8,BYENGYERERE TRADING CENTRE,278,0,0,0,0,0,0,0,0,0,0,0,0,277,100,100,277,1,278,100
62,ISINGIRO,34,MIRAMBIRO,4,KABWERA TEMPLE CHURCH,278,0,0,0,0,0,0,0,0,0,0,0,0,278,100,100,278,0,278,100
131,KAZO,16,MBABA,4,BUTERANIRO PRI SCH,272,0,0,0,0,0,0,0,0,0,0,0,0,272,100,100,272,0,272,100
34,NTUNGAMO,3,KIKONI,5,RYANGUSHA TRADING CENTRE,270,0,0,0,0,0,0,0,0,0,0,0,0,270,100,100,270,0,270,100
62,ISINGIRO,23,KAKAMBA,2,BIGASHA CATHOLIC,269,0,0,0,0,0,0,0,0,0,0,0,0,269,100,100,269,0,269,100
131,KAZO,7,MAGONDO,8,KABIMBA COMMUNITY PRI SCH,266,0,0,0,0,0,0,0,0,0,0,0,0,262,100,100,262,4,266,100
62,ISINGIRO,48,RUTUNGA,2,RUTUNGA T C,264,0,0,0,0,0,0,0,0,0,0,0,0,264,100,100,264,0,264,100
65,KIRUHURA,22,NOMBE II,1,RWENSHEKO TRADING CENTRE,263,0,0,0,0,0,0,0,0,0,0,0,0,262,100,100,262,1,263,100
65,KIRUHURA,12,MACUNCU,1,BYAZO C.O.U,255,0,0,0,0,0,0,0,0,0,0,0,0,255,100,100,255,0,255,100
80,LYANTONDE,23,KYEMAMBA,4,KANSHAMA C.O.U,253,0,0,0,0,0,0,0,0,0,0,0,0,251,100,100,251,2,253,100
62,ISINGIRO,18,NYAMARUNGI,3,OBUGAAGA NURS & PRI SCH,252,0,0,0,0,0,0,0,0,0,0,0,0,252,100,100,252,0,252,100
65,KIRUHURA,21,KANYANYA,3,EKIGAAGA C.O.U,251,0,0,0,0,0,0,0,0,0,0,0,0,251,100,100,251,0,251,100
131,KAZO,11,KIJUMA,7,KIGARAMA TRADING CENTRE,250,0,0,0,0,0,0,0,0,0,0,0,0,248,100,100,248,2,250,100
131,KAZO,18,KAYANGA,2,KITENGYETO PRI SCH,250,0,0,0,0,0,0,0,0,0,0,0,0,250,100,100,250,0,250,100
131,KAZO,7,MAGONDO,6,ST PETERS SEC SCH,247,0,0,0,0,0,0,0,0,0,0,0,0,247,100,100,247,0,247,100
31,MUBENDE,15,BUBANDA,5,KYANKUNGU,247,0,0,0,0,0,0,0,0,0,0,0,0,247,100,100,247,0,247,100
131,KAZO,11,KIJUMA,8,KIJUMA HEALTH CENTRE II,244,0,0,0,0,0,0,0,0,0,0,0,0,244,100,100,244,0,244,100
65,KIRUHURA,20,KAYONZA,4,EKIMOMO TRADING CENTRE,241,0,0,0,0,0,0,0,0,0,0,0,0,241,100,100,241,0,241,100
80,LYANTONDE,9,BWAMULAMIRA,3,KAMUSENENE T/CENTRE,240,0,0,0,0,0,0,0,0,0,0,0,0,240,100,100,240,0,240,100
17,KIBOGA,52,KYAMUKWEYA,1,RUTONGOLE ELIM PENTECOSTAL,234,0,0,0,0,0,0,0,0,0,0,0,0,234,100,100,234,0,234,100
45,SSEMBABULE,20,KAKINGA,3,KASHEBWONGERA,229,0,0,0,0,0,0,0,0,0,0,0,0,228,100,100,228,1,229,100
69,NAKASEKE,45,BUWANA,2,KAGONGI,229,0,0,0,0,0,0,0,0,0,0,0,0,229,100,100,229,0,229,100
65,KIRUHURA,11,KASAANA,1,KINONI C.O.U,228,0,0,0,0,0,0,0,0,0,0,0,0,228,100,100,228,0,228,100
65,KIRUHURA,15,KYAKABUNGA,5,RYAKENDA PRI SCH,226,0,0,0,0,0,0,0,0,0,0,0,0,226,100,100,226,0,226,100
45,SSEMBABULE,19,KAIRASYA,4,RWEKISHUGI,224,0,0,0,0,0,0,0,0,0,0,0,0,224,100,100,224,0,224,100
135,RWAMPARA,15,RYAMIYONGA,3,KAKONI MUTIGUMWE TRADING CENTRE,219,0,0,0,0,0,0,0,0,0,0,0,0,219,100,100,219,0,219,100
34,NTUNGAMO,7,KASHENYI,4,KASHENYI INTERGRATED PRI SCH,215,0,0,0,0,0,0,0,0,0,0,0,0,213,100,100,213,2,215,100
131,KAZO,50,AKATONGORE,1,AKAGANDO UNITED PENTECOST CHURCH,214,0,0,0,0,0,0,0,0,0,0,0,0,214,100,100,214,0,214,100
62,ISINGIRO,7,ENDIINZI A WARD,5,MIGINA REDEEMED CHURCH,212,0,0,0,0,0,0,0,0,0,0,0,0,212,100,100,212,0,212,100
65,KIRUHURA,17,RURAMBIRA,2,KAKYERA TRADING CENTRE,212,0,0,0,0,0,0,0,0,0,0,0,0,212,100,100,212,0,212,100
46,KAMWENGE,33,KABUYE,3,IRUHURA C.O.U,207,0,0,0,0,0,0,0,0,0,0,0,0,200,100,100,200,7,207,100
89,BULAMBULI,15,GIBUZALE,2,GIDUNO GROWERS CO-OP. SOCIETY,203,0,0,0,0,0,0,0,0,0,0,0,0,203,100,100,203,0,203,100
131,KAZO,9,KIGUMA,6,KIGUMA PRI SCH II,202,0,0,0,0,0,0,0,0,0,0,0,0,202,100,100,202,0,202,100
